id,name,lat,lon
278,Mairie de Montreuil,48.86193691,2.44131094
279,Boulogne - Pont de Saint-Cloud,48.84074502,2.228536982
280,Boulogne - Jean Jaurès,48.84200535,2.238887329
281,Porte d'Auteuil,48.84797154,2.25774468
282,Michel-Ange - Molitor,48.84524119,2.261893642
283,Michel-Ange - Auteuil,48.8479431,2.264130427
284,Chardon-Lagache,48.8452047,2.26644154
285,Église d'Auteuil,48.84715006,2.269135873
286,Mirabeau,48.84713101,2.272763753
287,Javel - André Citroën,48.84619214,2.276760967
288,Charles Michels,48.84653464,2.285999222
289,Avenue Émile-Zola,48.84701958,2.295420478
290,La Motte-Picquet - Grenelle,48.84906456,2.297916592
291,Ségur,48.84706613,2.307402241
292,Duroc,48.84685485,2.316634671
293,Vaneau,48.84881637,2.321257863
294,Sèvres - Babylone,48.85137883,2.326935245
295,Mabillon,48.85301677,2.33550205
296,Odéon,48.85216726,2.339646336
297,Cluny - La Sorbonne,48.85105028,2.344273345
298,Maubert - Mutualité,48.85012732,2.348054293
299,Cardinal Lemoine,48.84665685,2.351623256
300,Jussieu,48.84615112,2.354917984
301,Gare d'Austerlitz,48.84236008,2.365581704
302,Châtelet,48.85861111,2.347222222
303,Hôtel de Ville,48.85666667,2.351388889
304,Rambuteau Centre Georges Pompidou,48.86194444,2.353888889
305,Arts et Métiers,48.86555556,2.356111111
306,République,48.8675,2.363888889
307,Goncourt Hôpital Saint-Louis,48.86972222,2.370555556
308,Belleville,48.87194444,2.376944444
309,Pyrénées,48.87388889,2.385277778
310,Jourdain,48.87527778,2.389444444
311,Place des Fêtes,48.87694444,2.393055556
312,Télégraphe,48.87555556,2.398333333
313,Porte des Lilas,48.87722222,2.406666667
314,Mairie des Lilas,48.87972222,2.416388889
315,Aubervilliers - Saint-Denis Front Populaire,48.90666667,2.365833333
316,Porte de la Chapelle,48.89722222,2.359166667
317,Marx Dormoy,48.89055556,2.36
318,Marcadet - Poissonniers,48.89027778,2.35
319,Jules Joffrin,48.8925,2.344722222
320,Lamarck - Caulaincourt,48.88972222,2.338611111
321,Abbesses Butte Montmartre,48.88444444,2.338611111
322,Pigalle,48.88222222,2.3375
323,Saint-Georges,48.87833333,2.3375
324,Notre-Dame-de-Lorette,48.87611111,2.338611111
325,Trinité - d'Estienne d'Orves,48.87638889,2.333333333
326,Saint-Lazare,48.87555556,2.326111111
327,Madeleine,48.86972222,2.324444444
328,Concorde,48.86611111,2.3225
329,Assemblée nationale,48.86055556,2.321111111
330,Solférino Musée d'Orsay,48.85833333,2.323333333
331,Rue du Bac,48.85555556,2.325555556
332,Sèvres - Babylone,48.85138889,2.326666667
333,Rennes,48.84805556,2.327777778
334,Notre-Dame-des-Champs,48.84444444,2.328888889
335,Montparnasse - Bienvenüe,48.84333333,2.323055556
336,Falguière,48.84444444,2.318055556
337,Pasteur,48.84277778,2.312777778
338,Volontaires,48.84138889,2.3075
339,Vaugirard,48.83972222,2.301388889
340,Convention,48.8375,2.296666667
341,Porte de Versailles Parc des Expositions,48.83222222,2.287777778
342,Corentin Celton,48.82694444,2.278888889
343,Mairie d'Issy,48.82416667,2.273333333
344,Asnières - Gennevilliers Les Courtilles,48.930757,2.284174448
345,Les Agnettes,48.92310378,2.286279578
346,Gabriel Péri,48.91638231,2.294685112
347,Mairie de Clichy,48.90333009,2.30592415
348,Porte de Clichy,48.89416839,2.315599219
349,Brochant,48.89058719,2.320174756
350,Saint-Denis - Université,48.94584566,2.364541762
351,Basilique de Saint-Denis Hôtel de Ville,48.93730474,2.360072142
352,Saint-Denis - Porte de Paris Stade de France,48.92993589,2.356035796
