INSERTED;UUID;LINE;NAME;DIRECT_LINK;GROUP_NAME;GROUP_NAME_CNT;CHANGE_SAME;CHANGE_DIFF;HUMANIZE_DIRECT_LINK;HUMANIZE_CHANGE_SAME;LATITUDE;LONGITUDE
1120;80951edc-35d3-4481-b648-3b9853d91067;M5;Ourcq;1bf4d462-672a-4ac5-a6ad-6bada09d7286/5ad86ac4-6613-470f-ae8e-51f8397749c8;Ourcq;1;;;Porte de Pantin / Laumière;;48,88713486910;2,38696001714
1130;5ad86ac4-6613-470f-ae8e-51f8397749c8;M5;Laumière;80951edc-35d3-4481-b648-3b9853d91067/d42d11c4-1641-4bb3-88ff-c40ad18b9089;Laumière;1;;;Ourcq / Jaurès;;48,88521618210;2,37966307748
1140;d42d11c4-1641-4bb3-88ff-c40ad18b9089;M5;Jaurès;5ad86ac4-6613-470f-ae8e-51f8397749c8/fac704ce-20a3-441a-ad2e-43b9b5c78b0c;Jaurès;3;c7a97b27-235c-4a4a-bfba-f9ca4f4501bc/132489eb-4061-402f-9ba5-50755201633c;;Laumière / Stalingrad;Jaurès / Jaurès;48,88314745140;2,37100144075
1150;fac704ce-20a3-441a-ad2e-43b9b5c78b0c;M5;Stalingrad;d42d11c4-1641-4bb3-88ff-c40ad18b9089/ba871a49-ba2a-4ef0-bcba-86559c28d894;Stalingrad;3;ee8beb96-1812-440f-80b7-d9a7b0094388/eed6aec9-53ed-42e5-bb4c-b695b4571f82;;Jaurès / Gare du Nord;Stalingrad / Stalingrad;48,88442088640;2,36589381994
1160;ba871a49-ba2a-4ef0-bcba-86559c28d894;M5;Gare du Nord;fac704ce-20a3-441a-ad2e-43b9b5c78b0c/979f7753-6044-4475-826d-9873b9020a51;Gare du Nord;2;26320586-e7af-4abf-bd3a-bd8383359193;;Stalingrad / Gare de l'Est;Gare du Nord;48,87985014250;2,35745934659
1170;979f7753-6044-4475-826d-9873b9020a51;M5;Gare de l'Est;ba871a49-ba2a-4ef0-bcba-86559c28d894/58d37da8-8d48-47cc-961e-0f83ab17777b;Gare de l'Est;3;154524ba-089d-4474-b1cf-9533abbd28b0/c5202f62-6a57-44bb-b057-422e3454ee38;;Gare du Nord / Jacques Bonsergent;Gare de l'Est / Gare de l'Est;48,87612635290;2,35804750536
1180;58d37da8-8d48-47cc-961e-0f83ab17777b;M5;Jacques Bonsergent;979f7753-6044-4475-826d-9873b9020a51/01aec5d9-209a-454e-8f37-b877f74ffe8a;Jacques Bonsergent;1;;;Gare de l'Est / République;;48,87080998000;2,36102746692
1190;01aec5d9-209a-454e-8f37-b877f74ffe8a;M5;République;58d37da8-8d48-47cc-961e-0f83ab17777b/93a26e42-56a8-4918-8c8f-70e7982935be;République;5;b02dedb1-5c12-4990-85a3-51b96860363d/b15b689a-f391-4a2c-8727-0073778518ed/1616e4eb-50f4-4073-b7c4-ddf714264278/f1ad70bd-5d00-43df-8f2f-d403a99954e8;;Jacques Bonsergent / Oberkampf;République / République / République / République;48,86738447290;2,36426495043
1200;93a26e42-56a8-4918-8c8f-70e7982935be;M5;Oberkampf;01aec5d9-209a-454e-8f37-b877f74ffe8a/17714f09-edaa-4832-9c2b-25ed3e68ef9b;Oberkampf;2;62e62d2c-89c1-4d2a-b35f-da04b9e79a2c;;République / Richard-Lenoir;Oberkampf;48,86465787960;2,36841002566
1210;17714f09-edaa-4832-9c2b-25ed3e68ef9b;M5;Richard-Lenoir;93a26e42-56a8-4918-8c8f-70e7982935be/edd840a6-24cb-4415-9324-8e450ffaa381;Richard-Lenoir;1;;;Oberkampf / Bréguet - Sabin;;48,85987362440;2,37191398009
1220;edd840a6-24cb-4415-9324-8e450ffaa381;M5;Bréguet - Sabin;17714f09-edaa-4832-9c2b-25ed3e68ef9b/65c83b49-26fb-4371-ae38-8215908be7ff;Bréguet - Sabin;1;;;Richard-Lenoir / Bastille;;48,85614070930;2,37020933841
1230;65c83b49-26fb-4371-ae38-8215908be7ff;M5;Bastille;edd840a6-24cb-4415-9324-8e450ffaa381/8d8db83e-f6b0-4fa5-90cb-1c202c6d973b;Bastille;3;757a3621-4dda-4117-9888-7a836c6c3dd8/453339c2-ccb9-482b-92aa-03e6b29e613d;;Bréguet - Sabin / Quai de la Râpée;Bastille / Bastille;48,85343696230;2,36873657263
1240;8d8db83e-f6b0-4fa5-90cb-1c202c6d973b;M5;Quai de la Râpée;65c83b49-26fb-4371-ae38-8215908be7ff/7e001018-784d-4f3b-ac17-a1c54b1d00b5;Quai de la Râpée;1;;;Bastille / Gare d'Austerlitz;;48,84651540420;2,36587346941
1250;7e001018-784d-4f3b-ac17-a1c54b1d00b5;M5;Gare d'Austerlitz;8d8db83e-f6b0-4fa5-90cb-1c202c6d973b/56a7621a-e8bb-4851-85cf-d786709ab583;Gare d'Austerlitz;2;6429e188-69bb-4dc7-8b46-c704e72841b1;;Quai de la Râpée / Saint-Marcel;Gare d'Austerlitz;48,84226538650;2,36533865297
1260;56a7621a-e8bb-4851-85cf-d786709ab583;M5;Saint-Marcel;7e001018-784d-4f3b-ac17-a1c54b1d00b5/9882a61c-1ee8-44aa-a880-89660363666d;Saint-Marcel;1;;;Gare d'Austerlitz / Campo-Formio;;48,83842729700;2,36096716770
1270;9882a61c-1ee8-44aa-a880-89660363666d;M5;Campo-Formio;56a7621a-e8bb-4851-85cf-d786709ab583/4ab9c0b8-bda1-434e-96fa-9897fd05fc11;Campo-Formio;1;;;Saint-Marcel / Place d'Italie;;48,83549535540;2,35882348910
1280;4ab9c0b8-bda1-434e-96fa-9897fd05fc11;M5;Place d'Italie;9882a61c-1ee8-44aa-a880-89660363666d;Place d'Italie;3;60b3084a-256d-4462-965b-d4300723a1e5/9cc8c832-0b9a-4960-8b00-bf69bd1424ab;;Campo-Formio;Place d'Italie / Place d'Italie;48,83097267300;2,35558027408
1290;1f2da068-67ea-4aa0-bcae-9c95dcc28948;M6;Charles de Gaulle - Etoile;c437e277-9249-4a57-9f53-b499650885ba;Charles de Gaulle - Etoile;3;755ceb3a-df2f-456f-84e0-8664f6b75170/3df2697d-2b6f-4981-a584-5dc323bfdb84;;Kléber;Charles de Gaulle - Etoile / Charles de Gaulle - Etoile;48,87474865070;2,29556025621
1300;c437e277-9249-4a57-9f53-b499650885ba;M6;Kléber;1f2da068-67ea-4aa0-bcae-9c95dcc28948/d7123303-29d4-407d-b36b-c117bf8b2324;Kléber;1;;;Charles de Gaulle - Etoile / Boissière;;48,87164976910;2,29352429034
1310;d7123303-29d4-407d-b36b-c117bf8b2324;M6;Boissière;c437e277-9249-4a57-9f53-b499650885ba/031acf11-25b2-4a06-98b4-5cfe7347daf1;Boissière;1;;;Kléber / Trocadéro;;48,86698311040;2,29005883493
1320;031acf11-25b2-4a06-98b4-5cfe7347daf1;M6;Trocadéro;d7123303-29d4-407d-b36b-c117bf8b2324/93e53aee-eb29-4366-98b1-0dd1447daec5;Trocadéro;2;00419aee-1c76-4f1e-bda0-e0e3eac65898;;Boissière / Passy;Trocadéro;48,86361093760;2,28758016253
1330;93e53aee-eb29-4366-98b1-0dd1447daec5;M6;Passy;031acf11-25b2-4a06-98b4-5cfe7347daf1/76e2aa2c-b01f-4e0f-86c3-d08605088205;Passy;1;;;Trocadéro / Bir-Hakheim;;48,85744869100;2,28581244413
